 -7.7083140186992e+000   -8.0032121017435e-001   =    1.8673090883e+002  @      3793         3  1
 -7.7083138397378e+000    5.4828640008594e+000   =    1.8673090883e+002  @      3794         3  1
  4.8580572960494e+000   -8.0032129991586e-001   =    1.8673090883e+002  @      3796         3  1
 -1.4251287290218e+000   -7.0835056767843e+000   =    1.8673090883e+002  @      3799         3  1
  5.4828644234514e+000   -7.7083136130126e+000   =    1.8673090883e+002  @      3803         3  1
  5.4828643468602e+000   -1.4251281395415e+000   =    1.8673090883e+002  @      3808         3  1
 -8.0032148343911e-001   -1.4251281646361e+000   =    1.8673090883e+002  @      7554         5  1
  5.4828663259307e+000    4.8580565579467e+000   =    1.8673090882e+002  @      7561         5  1
  4.8580568780733e+000    5.4828642053995e+000   =    1.8673090883e+002  @      7569         5  1
 -7.7083137076046e+000   -7.0835063841643e+000   =    1.8673090883e+002  @      7578         5  1
 -1.4251280554760e+000   -8.0032158971801e-001   =    1.8673090883e+002  @      9871         7  1
 -7.0835064340792e+000    4.8580568151918e+000   =    1.8673090883e+002  @      9882         7  1
 -7.0835063965887e+000   -1.4251285950307e+000   =    1.8673090883e+002  @     12735         9  1
 -7.0835063191612e+000   -7.7083133075398e+000   =    1.8673090883e+002  @     12748         9  1
 -8.0032089801471e-001    4.8580568902275e+000   =    1.8673090883e+002  @     12762         9  1
 -8.0032115181953e-001   -7.7083137304718e+000   =    1.8673090883e+002  @     12777         9  1
 -1.4251285542518e+000    5.4828640744347e+000   =    1.8673090883e+002  @     14507        11  1
  4.8580567562969e+000   -7.0835064454748e+000   =    1.8673090883e+002  @     23043        20  1
