1.757745 1.595738 -4.308931 = -0.00000000 @ 388276 171599
1.757745 1.595738 -4.308931 = -0.00000000 @ 379028 167511
-3.395113 -3.317306 2.346835 = -0.00000000 @ 399250 176513
-3.395113 -3.317306 2.346835 = -0.00000000 @ 388188 171558
-3.395113 -3.317306 2.346835 = -0.00000000 @ 395979 174955
-1.561547 4.400024 3.285293 = -0.00000001 @ 380768 168270
1.757745 1.595738 -4.308935 = -0.00000001 @ 391302 173110
-1.561547 4.400024 3.285299 = -0.00000001 @ 398495 176092
-3.395111 -3.317306 2.346837 = -0.00000001 @ 393034 173839
4.141260 2.477012 2.669820 = -0.00000001 @ 396507 175168
4.141256 2.477010 2.669822 = -0.00000002 @ 398356 176042
1.757738 1.595738 -4.308931 = -0.00000002 @ 399642 176678
4.141260 2.477012 2.669822 = -0.00000002 @ 392281 173517
1.757748 1.595738 -4.308935 = -0.00000002 @ 399420 176576
4.141260 2.477010 2.669820 = -0.00000003 @ 399788 176729
1.757746 1.595731 -4.308931 = -0.00000003 @ 399135 176468
1.757746 1.595731 -4.308931 = -0.00000003 @ 387790 171410
-1.561547 4.400029 3.285295 = -0.00000003 @ 398525 176112
-1.561547 4.400029 3.285295 = -0.00000003 @ 392412 173558
-1.561547 4.400029 3.285295 = -0.00000003 @ 399805 176734
1.757735 1.595735 -4.308931 = -0.00000005 @ 399582 176658
1.757738 1.595740 -4.308924 = -0.00000007 @ 399408 176572
4.141256 2.477006 2.669817 = -0.00000008 @ 396306 175082
1.757740 1.595748 -4.308931 = -0.00000009 @ 398603 176148
1.757745 1.595740 -4.308943 = -0.00000010 @ 397889 175779
1.757738 1.595740 -4.308943 = -0.00000011 @ 392149 173454
1.757745 1.595740 -4.308945 = -0.00000013 @ 399253 176514
-1.561561 4.400016 3.285291 = -0.00000013 @ 396843 175316
1.757748 1.595736 -4.308917 = -0.00000014 @ 399905 176775
1.757744 1.595742 -4.308917 = -0.00000014 @ 388832 171863
-1.561561 4.400010 3.285288 = -0.00000017 @ 382827 169144
1.757759 1.595738 -4.308921 = -0.00000019 @ 399687 176694
1.757759 1.595738 -4.308921 = -0.00000019 @ 389477 172137
1.757743 1.595742 -4.308949 = -0.00000020 @ 399160 176479
-1.561565 4.400029 3.285295 = -0.00000021 @ 399015 176415
1.757726 1.595743 -4.308936 = -0.00000025 @ 394625 174453
1.757726 1.595743 -4.308936 = -0.00000025 @ 396296 175079
1.757748 1.595758 -4.308932 = -0.00000026 @ 398085 175902
1.757756 1.595745 -4.308946 = -0.00000027 @ 394434 174400
1.757747 1.595717 -4.308935 = -0.00000028 @ 380583 168187
1.757732 1.595715 -4.308930 = -0.00000035 @ 399036 176426
1.757720 1.595738 -4.308931 = -0.00000037 @ 398657 176170
1.757769 1.595738 -4.308921 = -0.00000045 @ 398826 176269
1.757732 1.595711 -4.308930 = -0.00000046 @ 397049 175414
1.757723 1.595733 -4.308950 = -0.00000047 @ 399261 176517
1.757751 1.595766 -4.308934 = -0.00000051 @ 398391 176056
1.757767 1.595758 -4.308932 = -0.00000055 @ 394086 174285
1.757715 1.595726 -4.308931 = -0.00000058 @ 398661 176172
1.757763 1.595716 -4.308937 = -0.00000063 @ 399591 176662
-1.561560 4.400030 3.285260 = -0.00000063 @ 398913 176339
-1.561507 4.400024 3.285293 = -0.00000064 @ 399688 176695
1.757732 1.595705 -4.308940 = -0.00000075 @ 392028 173414
-1.561547 4.400024 3.285252 = -0.00000078 @ 398612 176151
1.757735 1.595771 -4.308931 = -0.00000080 @ 393260 173940
-1.561570 4.400008 3.285328 = -0.00000084 @ 398390 176055
-1.561570 4.400008 3.285328 = -0.00000084 @ 397214 175490
-1.561505 4.400024 3.285316 = -0.00000085 @ 398206 175974
-1.561518 4.399991 3.285322 = -0.00000098 @ 396715 175255
1.757773 1.595733 -4.308904 = -0.00000100 @ 394739 174491
1.757761 1.595772 -4.308946 = -0.00000100 @ 398874 176318
4.141280 2.477010 2.669820 = -0.00000101 @ 399933 176802
4.141280 2.477010 2.669820 = -0.00000101 @ 398404 176060
1.757745 1.595766 -4.308961 = -0.00000104 @ 399764 176722
1.757746 1.595731 -4.308891 = -0.00000104 @ 382522 169004
1.757732 1.595705 -4.308907 = -0.00000104 @ 399654 176684
4.141271 2.476996 2.669830 = -0.00000104 @ 388600 171756
1.757738 1.595731 -4.308891 = -0.00000107 @ 399132 176467
